"pair","quality","question","answer"
"11","VERTICAL BOX THREAT","How is Vertical Box Threat measured?","Vertical Box Threat is a weighted sum of: carries from the creation zone (Z3) reaching the opponent's box (Z5) at 40%, progressive runs per 90 at 35%, and the percentage of a player's total actions occurring inside the box (Z5) at 25%."
"12","VERTICAL BOX THREAT","How is Vertical Box Threat calculated?","Vertical Box Threat is calculated as the weighted sum of the z-scores of: carry_z3_to_z5_p90 (40%), progressive_runs_p90 (35%), and pct_actions_z5 (25%), among players in the same position group."
"13","VERTICAL BOX THREAT","What does it mean for a player to have outstanding Vertical Box Threat?","A player with outstanding Vertical Box Threat has a voracious hunger to invade the central corridor. They consistently make late runs into the box, arrive at pace, and prioritise penetration through carrying and forward movement. They create chaos simply by being in the right place at the right time inside the area."
"14","VERTICAL BOX THREAT","What does it mean for a player to have poor Vertical Box Threat?","A player with poor Vertical Box Threat operates mostly outside the penalty area. This does not mean they are ineffective — many playmakers and wide creators deliberately avoid the box to maintain width and space for their teammates. Context depends heavily on the player's role."
"15","VERTICAL BOX THREAT","Why is pct_actions_z5 included in Vertical Box Threat?","Percentage of actions in Z5 captures a player's habitual presence inside the box. A player who repeatedly makes themselves available in the danger zone — receiving passes, contesting headers, arriving late — shows an instinctive box mentality that is captured by this spatial metric."
"16","VERTICAL BOX THREAT","How does Vertical Box Threat differ from Breaking the Lines?","Breaking the Lines measures the ability to move the ball from deep positions into the final third. Vertical Box Threat measures the final step: the direct penetration into the box itself. A deep-lying midfielder might score highly in Breaking the Lines but very low in Vertical Box Threat."
"17","VERTICAL BOX THREAT","What position profiles score highest in Vertical Box Threat?","Typically attacking midfielders, second strikers, and inverted wingers who cut inside and run in behind score highest. Centre-forwards who rely on movement and runs rather than hold-up play also score well. Traditional wide players who hug the touchline tend to score lower."
"18","THE ZONE SKIPPER","What is The Zone Skipper?","The Zone Skipper measures a player's ability to perform actions that leap two or more pitch zones in a single movement — the most vertical and explosive plays in football. Zone skipping eliminates entire sections of the opponent's structure in one pass or carry, transforming a static build-up into a promising attack instantly."
"19","THE ZONE SKIPPER","How is The Zone Skipper measured?","The Zone Skipper is a weighted sum of: carries from the low block (Z2) reaching the opponent's box (Z5) at 35%, passes from the low block (Z2) reaching the final third (Z4+) at 35%, and long passes per 90 at 30%."
"20","THE ZONE SKIPPER","How is The Zone Skipper calculated?","The Zone Skipper is calculated as the weighted sum of the z-scores of: carry_z2_to_z5_p90 (35%), pass_z2_to_z4_p90 (35%), and long_passes_p90 (30%), among players in the same position group."
"21","THE ZONE SKIPPER","What does it mean for a player to be outstanding as a Zone Skipper?","An outstanding Zone Skipper possesses rare verticality. They can clean out two or more pressure zones with a single long ball or driving carry, transforming a static build-up into a promising attack in seconds. This quality is particularly valued in teams that play direct or transition-based football."
"22","THE ZONE SKIPPER","What does it mean for a player to be poor as a Zone Skipper?","A player poor at Zone Skipping operates primarily in short, horizontal or slightly progressive actions. They prefer to build gradually through the zones rather than skipping them. This is characteristic of possession-based playmakers who value ball retention over direct verticality."
"23","THE ZONE SKIPPER","Why are long passes part of The Zone Skipper?","Long passes are the most natural mechanism for skipping zones — a single switch of play from Z2 to Z4 or Z5 with one ball is the essence of zone skipping. While the zone transition metrics capture this precisely, long passes per 90 broadens the measure to include diagonal switches and range passing that may not always be captured by exact zone coordinates."
"24","THE ZONE SKIPPER","How does The Zone Skipper differ from Breaking the Lines?","Breaking the Lines focuses on moving from Z2 to Z4 — one zone skip with a specific start and end zone. The Zone Skipper demands at least two zone leaps (e.g. Z2 to Z5), or carries from deep that travel the full length of the pitch. It is a more extreme version of vertical intent."
"25","THE ZONE SKIPPER","What position profiles score highest as a Zone Skipper?","Ball-playing centre-backs with range, deep-lying midfielders with long passing ability (registas), and goalkeepers who launch direct distribution all score highly. In attack, players who make explosive carrying runs from deep midfield positions can also score well."
"26","CREATIVE PLAYMAKER","What is Creative Playmaker?","Creative Playmaker measures a player's ability to create goalscoring opportunities for teammates through intelligent, penetrating passing. It captures players who act as the team's primary chance-creators — threading through balls, finding key passes, and delivering shot assists that others simply cannot see."
"27","CREATIVE PLAYMAKER","How is Creative Playmaker measured?","Creative Playmaker is a weighted sum of: smart passes per 90 at 35%, key passes per 90 at 35%, and shot assists per 90 at 30%."
"28","CREATIVE PLAYMAKER","How is Creative Playmaker calculated?","Creative Playmaker is calculated as the weighted sum of the z-scores of: smart_passes_p90 (35%), key_passes_p90 (35%), and shot_assists_p90 (30%), among players in the same position group."
"29","CREATIVE PLAYMAKER","What is a smart pass?","A smart pass is a creative, through-ball or line-breaking pass that attempts to find a teammate in a more advanced position by bypassing one or more defenders. It is tagged by Wyscout as a pass that shows particular vision or ingenuity — these are the passes that unlock defences rather than simply circulating possession."
"30","CREATIVE PLAYMAKER","What is a key pass?","A key pass is a pass that directly leads to a shot by a teammate. It is the final action in a passing sequence that creates a goalscoring opportunity, regardless of whether the shot results in a goal. Key passes are the most direct measure of chance creation."
"31","CREATIVE PLAYMAKER","What is a shot assist?","A shot assist is any action — pass, carry, or cross — that directly precedes a shot. It is broader than a key pass because it includes assists by crossing and carrying, not just passing. Shot assists capture all the final contributions that create shooting situations."
"32","CREATIVE PLAYMAKER","What does it mean for a player to be outstanding as a Creative Playmaker?","An outstanding Creative Playmaker is the team's architect — they have peripheral vision to find through-balls others cannot see, acting as the principal catalyst for every real goalscoring chance. They consistently unlock compact defences with incisive final-third passing and are irreplaceable in the team's attacking structure."
"33","CREATIVE PLAYMAKER","What does it mean for a player to be poor as a Creative Playmaker?","A player poor at Creative Playmaking rarely creates direct scoring opportunities through their passing. This may reflect a more defensive or transitional role rather than a technical limitation. A defensive midfielder, for example, is not expected to be a creative playmaker."
"34","CREATIVE PLAYMAKER","How does Creative Playmaker differ from Box Invader?","Creative Playmaker measures the ability to create for others through passing vision. The Box Invader measures direct personal penetration into the penalty area through carrying and runs. A player can be an elite creative playmaker while rarely entering the box themselves — and vice versa."
"35","HIGH-INTENSITY PRESSER","What is High-Intensity Presser?","High-Intensity Presser measures a player's defensive aggression and volume in the opponent's half. It captures players who consistently win the ball back through intense pressing, counterpressing, and defensive duels in dangerous areas of the pitch — keeping the team camped in the rival's territory."
"36","HIGH-INTENSITY PRESSER","How is High-Intensity Presser measured?","High-Intensity Presser is a weighted sum of: counterpressing recoveries per 90 at 50%, ball recoveries per 90 at 30%, and defensive duels per 90 at 20%."
"37","HIGH-INTENSITY PRESSER","How is High-Intensity Presser calculated?","High-Intensity Presser is calculated as the weighted sum of the z-scores of: counterpressing_recoveries_p90 (50%), recoveries_p90 (30%), and defensive_duels_p90 (20%), among players in the same position group."
"38","HIGH-INTENSITY PRESSER","What is a counterpressing recovery?","A counterpressing recovery occurs when a player wins the ball back within 5 seconds of losing possession, in a high position on the pitch. It is the clearest signal of elite defensive pressing — the player immediately hunts the ball after losing it, applying maximum intensity to regain possession before the opponent can reorganise."
"39","HIGH-INTENSITY PRESSER","What does it mean for a player to be outstanding as a High-Intensity Presser?","An outstanding High-Intensity Presser generates elite defensive volume in the opponent's half. Their counterpressing activation is vital to keeping the team camped in the rival's territory and forcing errors on the ball. They are relentless in their work-rate and often act as the engine of the team's defensive shape."
"40","HIGH-INTENSITY PRESSER","What does it mean for a player to be poor as a High-Intensity Presser?","A player poor at High-Intensity Pressing contributes little to the team's defensive intensity in high areas. They may be excellent in other aspects — such as positional defending or aerial duels — but they are not players who win the ball back through pressing. This is acceptable for deep-defending roles."
"41","HIGH-INTENSITY PRESSER","Why are counterpressing recoveries weighted at 50% in High-Intensity Presser?","Counterpressing recoveries are the highest-quality defensive action for a high press system. They require both positional awareness — being close enough to press immediately — and physical capacity to execute the recovery instantly. A high volume of counterpressing recoveries is the purest signal of elite pressing behaviour."
"42","HIGH-INTENSITY PRESSER","What position profiles score highest as High-Intensity Pressers?","Central midfielders and attacking midfielders who play in high-press systems — such as those used by Liverpool, Manchester City, or Chelsea — tend to score highest. Wide forwards in pressing teams also score well. Defensive midfielders in deeper-block systems typically score lower."
"43","HIGH-INTENSITY PRESSER","Is High-Intensity Presser the same as being a good defender?","No. High-Intensity Presser measures aggressive, high-volume pressing in the opponent's half. A good defender in traditional terms — winning duels, reading the game, organising the backline — is better captured by Ball Winning Specialist. The two qualities measure different aspects of defensive contribution."
"44","THE BOX INVADER","What is The Box Invader?","The Box Invader measures a player's ability and tendency to deliver the ball into the opponent's penalty area — through passes, crosses, or direct carries into the box. It captures players who are the primary threat for feeding forwards and creating dangerous situations inside the penalty area."
"45","THE BOX INVADER","How is The Box Invader measured?","The Box Invader is a weighted sum of: passes into the penalty area per 90 at 40%, crosses per 90 at 30%, and passes from the creation zone (Z3) directly into the opponent's box (Z5) per 90 at 30%."
"46","THE BOX INVADER","How is The Box Invader calculated?","The Box Invader is calculated as the weighted sum of the z-scores of: passes_to_box_p90 (40%), crosses_p90 (30%), and pass_z3_to_z5_p90 (30%), among players in the same position group."
"47","THE BOX INVADER","What does it mean for a player to be outstanding as a Box Invader?","An outstanding Box Invader is a constant delivery threat who forces the opposition to defend deep. They whip in crosses from wide positions, thread passes through congested areas into the six-yard box, and find teammates in dangerous central positions. Their deliveries consistently create the highest-probability goalscoring situations."
"48","THE BOX INVADER","What does it mean for a player to be poor as a Box Invader?","A player poor at Box Invading rarely gets the ball into the penalty area directly. They may prefer to combine in central areas or play in a system that does not involve wide delivery. Possession midfielders and central playmakers who circulate the ball often score low here because their actions are designed to progress possession rather than deliver directly."
"49","THE BOX INVADER","How does The Box Invader differ from Creative Playmaker?","The Box Invader measures the act of physically getting the ball into the penalty area — through crosses and direct passes to the box. Creative Playmaker measures the intelligence of passing to create shots, which often happens outside the box. A wide player might be an elite Box Invader with average Creative Playmaker, while a central midfielder might be the opposite."
"50","THE BOX INVADER","Why are crosses included in The Box Invader?","Crosses are the most common delivery mechanism into the penalty area from wide positions. They are a direct measure of a wide player's intent to serve strikers with deliveries into the six-yard box or penalty area. Including crosses ensures that wide attacking players and full-backs who deliver from the touchline are properly captured by this quality."
"51","THE BOX INVADER","What position profiles score highest as Box Invaders?","Full-backs and wingers who cross the ball frequently score highest, particularly those who play in attacking systems with clear width. Advanced midfielders who regularly carry the ball to the byline and deliver into the box also score well. Central midfielders score lower unless they play a very direct, forward-passing role."
"52","POSSESSION ANCHOR","What is Possession Anchor?","Possession Anchor measures a player's ability to retain the ball reliably under pressure — maintaining composure, passing accurately, and avoiding losses that disrupt the team's build-up. It identifies the players who act as the safe centre of gravity in possession, providing the structural reliability that allows the rest of the team to take risks."
"53","POSSESSION ANCHOR","How is Possession Anchor measured?","Possession Anchor is a weighted sum of: pass accuracy percentage at 50%, passes completed under pressure per 90 at 30%, and the inverted z-score of ball losses per 90 at 20% — meaning fewer losses produce a higher z-score and improve the score."
"54","POSSESSION ANCHOR","How is Possession Anchor calculated?","Possession Anchor is calculated as the weighted sum of z-scores of: pass_accuracy_pct (50%), passes_under_pressure_p90 (30%), and inv_z(ball_losses_p90) (20%), among players in the same position group. The z-score for ball losses is inverted — a lower loss rate produces a higher z-score and improves the quality score."
"55","POSSESSION ANCHOR","What does it mean for a player to be outstanding as a Possession Anchor?","An outstanding Possession Anchor is the heartbeat of the team's build-up. They pass with near-flawless accuracy, are comfortable receiving and distributing under the most intense pressing, and almost never give the ball away carelessly. When the team needs a reliable option under pressure, this player is always available and always executes."
"56","POSSESSION ANCHOR","What does it mean for a player to be poor as a Possession Anchor?","A player poor at Possession Anchoring loses the ball frequently, passes inaccurately, or struggles when pressed. This does not mean they are a bad player — high-risk creative players who attempt difficult through-balls will naturally lose the ball more often and may score lower here, even while generating high creative output."
"57","POSSESSION ANCHOR","Why is the z-score of ball losses inverted in Possession Anchor?","Because ball losses directly reduce possession quality, but every metric must contribute with a positive weight so that all weights sum to 100%. By inverting the z-score of ball_losses_p90 — so that a lower number of losses produces a higher z-score — the weight for ball losses remains a positive 20%, and the three components sum correctly to 100%. This ensures that a player who keeps the ball reliably is rewarded and one who loses it frequently is penalised, without breaking the mathematical requirement that all metric weights sum to 100%."
"58","POSSESSION ANCHOR","Why is pass accuracy weighted most heavily in Possession Anchor?","Pass accuracy is the most universal and comparable measure of technical reliability. A player who consistently completes passes at a high rate — regardless of how many they attempt — demonstrates that they can be trusted as the base of possession. It is the foundation of any anchoring role."
"59","POSSESSION ANCHOR","How does Possession Anchor differ from Creative Playmaker?","Possession Anchor rewards safety and reliability — completing passes and not losing the ball. Creative Playmaker rewards risk and vision — attempting through-balls, key passes, and shot assists. A player who is outstanding in Possession Anchor may score average in Creative Playmaker because their instinct is to keep the ball rather than take risks with it."
"60","BALL WINNING SPECIALIST","What is Ball Winning Specialist?","Ball Winning Specialist measures a player's ability to regain possession through physical and positional means — winning defensive duels, intercepting passes, and recovering loose balls. It identifies the players whose primary contribution is taking the ball away from the opposition."
"61","BALL WINNING SPECIALIST","How is Ball Winning Specialist measured?","Ball Winning Specialist is a weighted sum of: defensive duel success percentage at 40%, interceptions per 90 at 30%, and ball recoveries per 90 at 30%."
"62","BALL WINNING SPECIALIST","How is Ball Winning Specialist calculated?","Ball Winning Specialist is calculated as the weighted sum of the z-scores of: defensive_duel_won_pct (40%), interceptions_p90 (30%), and recoveries_p90 (30%), among players in the same position group."
"63","BALL WINNING SPECIALIST","What does it mean for a player to be outstanding as a Ball Winning Specialist?","An outstanding Ball Winning Specialist is a physical and positional defensive powerhouse who consistently wins the ball from opponents. They read passing lines to intercept, win an exceptional percentage of their defensive duels, and vacuum up loose balls in transition. Teams that play with high defensive lines rely heavily on these players to compensate for the space behind."
"64","BALL WINNING SPECIALIST","What does it mean for a player to be poor as a Ball Winning Specialist?","A player poor at Ball Winning rarely wins the ball directly from opponents. This is typical of possession-focused midfielders or technical attackers whose defensive contribution is minimal. It does not indicate a poor player overall — just one whose value lies elsewhere."
"65","BALL WINNING SPECIALIST","How does Ball Winning Specialist differ from High-Intensity Presser?","High-Intensity Presser is about winning the ball back through movement and pressure — counterpressing, chasing, and hunting in high areas. Ball Winning Specialist is about winning the ball through positioning and physicality — being in the right place to intercept, or winning direct duels. One is primarily about press intensity, the other about defensive reading and dueling ability."
"66","BALL WINNING SPECIALIST","Why is defensive duel success percentage weighted most heavily?","Because duels are direct confrontations where the player either wins or loses the ball in a one-on-one situation. A high success rate means the player consistently comes out on top of physical battles, which is the core of defensive ball-winning. Volume of duels matters, but if a player attempts many and wins few, they are not a reliable ball winner."
"67","BALL WINNING SPECIALIST","What position profiles score highest as Ball Winning Specialists?","Defensive midfielders, central midfielders in pressing teams, and defensive-minded centre-backs score highest. Holding midfielders who screen the backline — described as 'midfield destroyers' — are the archetypal Ball Winning Specialists."
"68","TRANSITIONAL ENGINE","What is Transitional Engine?","Transitional Engine measures a player's ability to instantly transform defensive actions into forward momentum — winning the ball back and immediately driving or passing the ball forward into the final third. It identifies players who are the catalyst of counter-attacks, bridging the gap between defence and attack in a single action."
"69","TRANSITIONAL ENGINE","How is Transitional Engine measured?","Transitional Engine is a weighted sum of: ball recoveries per 90 at 40%, progressive runs per 90 at 35%, and passes from the creation zone (Z3) to the final third (Z4) per 90 at 25%."
"70","TRANSITIONAL ENGINE","How is Transitional Engine calculated?","Transitional Engine is calculated as the weighted sum of the z-scores of: recoveries_p90 (40%), progressive_runs_p90 (35%), and pass_z3_to_z4_p90 (25%), among players in the same position group."
"71","TRANSITIONAL ENGINE","What does it mean for a player to be outstanding as a Transitional Engine?","An outstanding Transitional Engine is the ideal engine for a transition-based team. They win the ball frequently and immediately exploit the space created by the turnover, carrying or passing the ball forward before the opposition can reorganise. They transform defensive actions into attacking opportunities in the blink of an eye."
"72","TRANSITIONAL ENGINE","What does it mean for a player to be poor as a Transitional Engine?","A player poor as a Transitional Engine either does not win the ball frequently enough or tends to recycle backwards after winning it. They may be excellent in a slow possession system but are not suited to direct, counter-attacking football where immediate vertical progression after turnovers is critical."
"73","TRANSITIONAL ENGINE","How does Transitional Engine differ from Ball Winning Specialist?","Ball Winning Specialist measures the ability to win the ball — the defensive act. Transitional Engine combines winning the ball with the ability to immediately drive play forward. A Ball Winning Specialist who plays the ball short or sideways after winning it will not score highly as a Transitional Engine, even if they win many duels."
"74","TRANSITIONAL ENGINE","What position profiles score highest as Transitional Engines?","Box-to-box midfielders are the archetypal Transitional Engine — players who defend actively and then immediately burst into forward positions. Energetic central midfielders in counter-attacking teams, such as those who cover large distances and contribute at both ends, typically score highest."
"75","WING WIZARD","What is Wing Wizard?","Wing Wizard measures a player's 1v1 dribbling threat and ability to progress the ball forward from wide positions through individual skill and carrying. It identifies wide players who beat opponents regularly, create danger through directness, and use their pace and technique to advance the ball in the final third."
"76","WING WIZARD","How is Wing Wizard measured?","Wing Wizard is a weighted sum of: dribbles attempted per 90 at 40%, progressive runs per 90 at 35%, and carries from the creation zone (Z3) to the final third (Z4) per 90 at 25%."
"77","WING WIZARD","How is Wing Wizard calculated?","Wing Wizard is calculated as the weighted sum of the z-scores of: dribbles_attempted_p90 (40%), progressive_runs_p90 (35%), and carry_z3_to_z4_p90 (25%), among players in the same position group."
"78","WING WIZARD","What does it mean for a player to be outstanding as a Wing Wizard?","An outstanding Wing Wizard is a nightmare for full-backs — they constantly attempt to beat their direct opponent in 1v1 situations, make explosive forward runs that advance the ball into the final third, and generate danger through individual skill rather than combination play. They are often the most direct attacking threat in the team."
"79","WING WIZARD","What does it mean for a player to be poor as a Wing Wizard?","A player poor as a Wing Wizard rarely attempts to take on their direct opponent and does not make many forward-carrying runs. They may operate as a link player or chance-creator through passing rather than carrying. Traditional playmakers and technical wide players who prefer to combine rather than drive score lower here."
"80","WING WIZARD","Why are dribbles attempted — rather than dribbles won — used in Wing Wizard?","Dribbles attempted capture the intent and frequency of 1v1 challenge — which is the core of wing-wizard behaviour. Players who consistently take on defenders are threatening even when they do not always succeed, because the attempt itself forces opponents to commit and creates space for teammates. Dribble success rate is a separate quality."
"81","WING WIZARD","How does Wing Wizard differ from The Box Invader?","Wing Wizard measures the act of carrying and dribbling from wide areas into the final third — the journey. The Box Invader measures the delivery into the penalty area — the destination. A Wing Wizard might cut inside and shoot rather than cross, while a Box Invader might cross frequently without dribbling past opponents."
"82","AERIAL POWERHOUSE","What is Aerial Powerhouse?","Aerial Powerhouse measures a player's dominance in aerial duels — both in terms of how often they engage in aerial contests and how frequently they win them. It identifies players who consistently outjump opponents, providing an aerial threat at set pieces, winning headers in the defensive line, and competing for long balls."
"83","AERIAL POWERHOUSE","How is Aerial Powerhouse measured?","Aerial Powerhouse is a weighted sum of: aerial duel success percentage at 60%, and aerial duels won per 90 at 40%."
"84","AERIAL POWERHOUSE","How is Aerial Powerhouse calculated?","Aerial Powerhouse is calculated as the weighted sum of the z-scores of: aerial_duel_won_pct (60%), and aerial_duels_won_p90 (40%), among players in the same position group."
"85","AERIAL POWERHOUSE","What does it mean for a player to be outstanding as an Aerial Powerhouse?","An outstanding Aerial Powerhouse is a dominant physical presence in the air. They win the vast majority of their aerial contests, are a constant set-piece threat at both ends, and provide the team with a reliable long ball target. Teams that play with direct football or rely on set-pieces as a primary source of goals especially value this quality."
"86","AERIAL POWERHOUSE","What does it mean for a player to be poor as an Aerial Powerhouse?","A player poor as an Aerial Powerhouse either rarely contests aerial duels or loses the majority of those they do contest. Shorter, technically-oriented players — particularly in midfield and attack — often score low here. This is not necessarily a weakness if the team does not rely on aerial play."
"87","AERIAL POWERHOUSE","Why is aerial duel success percentage weighted more heavily than volume?","Because winning matters more than engaging. A player who attempts many aerial duels but loses most of them is not a reliable aerial asset — they are simply engaging in a contest they cannot win. Success percentage ensures the quality captures genuine aerial dominance rather than just frequent involvement."
"88","AERIAL POWERHOUSE","What position profiles score highest as Aerial Powerhouses?","Target strikers who receive long balls and hold up play, and centre-backs who defend crosses and long balls, score highest. Defensive headers at set pieces and physical centre-forwards are the archetypal Aerial Powerhouses. Shorter attacking midfielders and technical wingers score lowest."
"89","FINAL THIRD CATALYST","What is Final Third Catalyst?","Final Third Catalyst measures how much of a player's total activity is concentrated in the final third (Z4), and how effectively they feed the attacking phase from that position. It identifies players who operate primarily as advanced playmakers or delivery threats — acting as the team's primary creative presence in the most dangerous area of the pitch."
"90","FINAL THIRD CATALYST","How is Final Third Catalyst measured?","Final Third Catalyst is a weighted sum of: percentage of actions in the final third (Z4) at 40%, passes into the final third per 90 at 35%, and passes from the creation zone (Z3) to the final third (Z4) per 90 at 25%."
"91","FINAL THIRD CATALYST","How is Final Third Catalyst calculated?","Final Third Catalyst is calculated as the weighted sum of the z-scores of: pct_actions_z4 (40%), passes_to_final_third_p90 (35%), and pass_z3_to_z4_p90 (25%), among players in the same position group."
"92","FINAL THIRD CATALYST","What does it mean for a player to be outstanding as a Final Third Catalyst?","An outstanding Final Third Catalyst operates almost exclusively in the most dangerous zone of the pitch. They are constantly available in Z4 to receive, combine, and deliver — acting as the hub of all attacking play. Their presence in the final third forces the opposition to dedicate extra defensive resources, creating space for teammates."
"93","FINAL THIRD CATALYST","What does it mean for a player to be poor as a Final Third Catalyst?","A player poor as a Final Third Catalyst operates primarily in deeper zones. They contribute more to build-up and progression than to the final attacking phase. Deep-lying midfielders, centre-backs, and defensive players naturally score low here, which reflects their positional role rather than any technical deficiency."
"94","FINAL THIRD CATALYST","How does Final Third Catalyst differ from Creative Playmaker?","Final Third Catalyst is about spatial presence and feeding the final third — being there, operating there, and passing the ball there. Creative Playmaker is about the quality of the chances created — key passes, through balls, and shot assists. A player can be a high Final Third Catalyst while being an average Creative Playmaker if they receive and distribute safely in Z4 without producing many direct shot chances."
"95","FINAL THIRD CATALYST","What position profiles score highest as Final Third Catalysts?","Attacking midfielders behind the striker, advanced playmakers in a 4-2-3-1 or 4-3-3, and inside forwards who drift into central channels score highest. Full-backs who push into the final third in possession-based systems can also score well. Target strikers who pin the defence often score high in pct_actions_z5 (box) rather than Z4."
